lat,long,location,count
42.24477982,-71.12224418,(42.24477982 -71.12224418),2
42.24487982,-71.1207012,(42.24487982 -71.12070120),18
42.2449024,-71.11937562,(42.24490240 -71.11937562),1
42.24492694,-71.11720734,(42.24492694 -71.11720734),3
42.24494731,-71.11622478,(42.24494731 -71.11622478),5
42.24495029,-71.13344844,(42.24495029 -71.13344844),7
42.24503321,-71.12354978,(42.24503321 -71.12354978),11
42.24504352,-71.12474587,(42.24504352 -71.12474587),12
42.24512703,-71.12162597,(42.24512703 -71.12162597),20
42.24513854,-71.13631443,(42.24513854 -71.13631443),2
42.24525124,-71.13465321,(42.24525124 -71.13465321),26
42.24532353,-71.13309458,(42.24532353 -71.13309458),2
42.24536558,-71.12119921,(42.24536558 -71.12119921),2
42.24537314,-71.11985995,(42.24537314 -71.11985995),19
42.24537376,-71.13329132,(42.24537376 -71.13329132),2
42.24550885,-71.11889368,(42.24550885 -71.11889368),8
42.24551633,-71.12268984,(42.24551633 -71.12268984),11
42.24555434,-71.11477723,(42.24555434 -71.11477723),4
42.24560506,-71.12077082,(42.24560506 -71.12077082),5
42.24563351,-71.13329369,(42.24563351 -71.13329369),13
42.24575909,-71.13633972,(42.24575909 -71.13633972),2
42.2457775,-71.118076,(42.24577750 -71.11807600),40
42.2458378,-71.11495025,(42.24583780 -71.11495025),1
42.24589301,-71.13838053,(42.24589301 -71.13838053),23
42.24590028,-71.12375754,(42.24590028 -71.12375754),3
42.24599545,-71.12184056,(42.24599545 -71.12184056),9
42.24604121,-71.11999261,(42.24604121 -71.11999261),8
42.24622994,-71.1144633,(42.24622994 -71.11446330),1
42.2462374,-71.11964229,(42.24623740 -71.11964229),1
42.24625203,-71.12479983,(42.24625203 -71.12479983),9
42.24633401,-71.11662451,(42.24633401 -71.11662451),10
42.24635332,-71.1136693,(42.24635332 -71.11366930),11
42.24637931,-71.13627572,(42.24637931 -71.13627572),9
42.24638286,-71.12290762,(42.24638286 -71.12290762),2
42.24643272,-71.11929349,(42.24643272 -71.11929349),1
42.24647351,-71.12098498,(42.24647351 -71.12098498),14
42.24658759,-71.1364004,(42.24658759 -71.13640040),5
42.24662501,-71.12248248,(42.24662501 -71.12248248),2
42.24662805,-71.11894468,(42.24662805 -71.11894468),3
42.24681052,-71.13749109,(42.24681052 -71.13749109),3
42.24686098,-71.12406975,(42.24686098 -71.12406975),11
42.24686405,-71.12205413,(42.24686405 -71.12205413),3
42.24690525,-71.12828904,(42.24690525 -71.12828904),24
42.24690741,-71.1123873,(42.24690741 -71.11238730),1
42.246989,-71.11830009,(42.24698900 -71.11830009),5
42.24704871,-71.11544426,(42.24704871 -71.11544426),18
42.24706589,-71.11438412,(42.24706589 -71.11438412),2
42.2471031,-71.12162577,(42.24710310 -71.12162577),2
42.24712877,-71.12722925,(42.24712877 -71.12722925),4
42.24722277,-71.12140414,(42.24722277 -71.12140414),3
42.24724405,-71.13533992,(42.24724405 -71.13533992),2
42.24725578,-71.11958581,(42.24725578 -71.11958581),18
42.24732684,-71.12766286,(42.24732684 -71.12766286),1
42.24734995,-71.11765549,(42.24734995 -71.11765549),2
42.24742136,-71.12786177,(42.24742136 -71.12786177),2
42.24743987,-71.12331799,(42.24743987 -71.12331799),10
42.24746798,-71.11230426,(42.24746798 -71.11230426),2
42.24747097,-71.12781172,(42.24747097 -71.12781172),1
42.24763465,-71.12148432,(42.24763465 -71.12148432),1
42.24763876,-71.11314825,(42.24763876 -71.11314825),3
42.24765488,-71.12823159,(42.24765488 -71.12823159),10
42.24769294,-71.11706693,(42.24769294 -71.11706693),2
42.24770696,-71.11140369,(42.24770696 -71.11140369),2
42.2477256,-71.1276081,(42.24772560 -71.12760810),23
42.24775221,-71.12690397,(42.24775221 -71.12690397),11
42.24783879,-71.12865146,(42.24783879 -71.12865146),4
42.2479086,-71.11382466,(42.24790860 -71.11382466),1
