Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
The Juice Box,SOUTH BOSTON,,0.5,1,2.2,2,1.736842105
Monumental Meat Market,DORCHESTER,,,2.5,1.533333333,,1.736842105
Harvard Street Community Market,DORCHESTER,2.076923077,1,1,1,,1.736842105
Jia Ho Supermarket,BOSTON,1.285714286,1.923076923,2,1.75,,1.734693878
Found Hotel,BOSTON,,0,1.571428571,2,,1.733333333
MELA RESTAURANT,ROXBURY,1.533333333,1.933333333,2,1.777777778,,1.732394366
HIGH SPOT DELI,BOSTON,,,1.272727273,2.066666667,,1.730769231
Sorelle Cafe,BOSTON,1.666666667,1,2,1,,1.727272727
T'S PUB,BOSTON,2.222222222,1,1,1.714285714,,1.727272727
Perla Del Sur Quintanilla,ROSLINDALE,1.875,2.142857143,0,1.333333333,,1.727272727
Love Art Sushi,BOSTON,,,1.8,1.666666667,,1.727272727
La Be Fana Pizzeria,ALLSTON,1.461538462,2.058823529,1.5,1.742857143,,1.727272727
Dunkin Donuts-Amer Airlines/Landside,EAST BOSTON,1,2.25,0,0,,1.727272727
DELI OF COURSE,BOSTON,1,1.571428571,2,1.8,,1.727272727
CHICKEN LOU'S,BOSTON,2.2,1,2,0.5,,1.727272727
Bubor Cha Cha,BOSTON,1.904761905,1.75,1.153846154,1.7,,1.726315789
Hissho Sushi @ Suffolk Univ.,BOSTON,0,2.4,1.9,0,,1.724137931
163 Vietnamese Sandwich,BOSTON,,1.7,2,0,,1.724137931
Tasty BBQ,BOSTON,,1.4,2.071428571,1,1,1.723404255
Jen Lai Noodle and Rice Co.,BOSTON,1.666666667,1.6,2.076923077,1.8125,1,1.722689076
Flik International @ Merck & Co.,BOSTON,2.166666667,0,1.6,2,,1.722222222
QUATTRO RISTORANTE  GRILL & PIZZERIA,BOSTON,1.571428571,2,1.6,1.857142857,,1.720930233
Matos Markets,DORCHESTER,0,1,1.705882353,2.111111111,2,1.717948718
Wingit,ALLSTON,,,,1.717391304,,1.717391304
Diaz Market,ROSLINDALE,1.769230769,1.916666667,1.428571429,1.625,,1.71641791
Rebecca's Cafe,BOSTON,1.857142857,1.538461538,1.764705882,2,0,1.770491803
